ID	Class	Text
1148	pks	KS KS KS ACP AT AT AT KS AT KS ACP AT KS ACP AT KS ACP AT AT ACP AT ACP AT AT ACP ACP KS ACP AT AT ACP ACP AT AT
1149	pks	KS KS KS AT KS KS KS KS AT AT KS
1150	pks	AT AT AT KS
1151	pks	KS ACP AT ACP ACP AT AT ACP KS KS AT ACP KS KS KS KS KS ACP AT KS ACP AT ACP KS ACP KS KS KS ACP AT KS KS KS KS ACP ACP KS ACP KS
1152	pks	AT KS ACP KS ACP ACP ACP AT KS ACP ACP AT ACP ACP ACP
1153	pks	ACP ACP AT KS AT AT AT KS ACP AT KS AT ACP KS ACP ACP AT KS AT KS ACP KS AT AT ACP KS KS AT AT KS KS AT AT ACP ACP
1154	pks	ACP KS AT AT
1155	pks	KS ACP KS ACP KS ACP AT AT ACP KS KS KS AT ACP AT AT AT ACP AT KS ACP KS AT KS ACP ACP KS ACP KS ACP KS KS AT AT
1156	pks	AT ACP KS ACP ACP KS ACP ACP KS ACP AT ACP AT KS KS KS AT KS KS
1157	pks	AT KS AT KS KS KS KS AT ACP AT KS ACP AT KS KS KS AT ACP ACP KS ACP AT AT KS KS
1158	pks	AT KS ACP ACP ACP KS KS ACP ACP KS AT ACP AT KS ACP KS ACP AT
1159	pks	ACP ACP ACP KS ACP ACP
1160	pks	ACP ACP ACP AT ACP AT AT ACP AT AT ACP ACP KS KS ACP AT KS AT AT KS AT KS ACP AT ACP AT AT ACP AT AT ACP
1161	pks	ACP ACP ACP AT ACP ACP ACP ACP ACP ACP KS KS KS ACP AT KS ACP KS KS ACP ACP AT ACP ACP ACP ACP ACP KS
1162	pks	ACP AT ACP ACP AT KS ACP KS KS KS ACP AT KS AT ACP AT ACP KS KS KS AT AT KS KS KS KS KS ACP AT AT AT AT AT AT AT ACP AT KS
1163	pks	AT KS ACP KS AT AT ACP ACP KS AT ACP ACP
1164	pks	ACP AT AT KS AT AT AT AT ACP KS KS KS ACP AT ACP ACP AT ACP AT KS KS AT AT AT AT AT AT ACP AT KS ACP ACP AT KS KS KS ACP ACP
1165	pks	AT AT AT KS KS ACP AT ACP ACP AT KS KS AT ACP KS AT KS KS AT AT
1166	pks	ACP AT KS ACP KS AT KS KS ACP AT KS ACP KS AT AT AT AT ACP ACP AT ACP KS KS AT AT ACP AT KS AT KS KS KS KS KS KS ACP KS KS KS ACP
1167	pks	KS KS KS AT KS KS AT KS KS ACP ACP ACP ACP KS
1168	pks	KS KS AT KS KS ACP ACP AT AT ACP ACP AT KS ACP AT KS ACP ACP ACP AT AT AT KS ACP KS KS KS KS KS ACP KS AT AT AT ACP
1169	pks	ACP AT ACP AT KS ACP KS KS ACP
1170	pks	KS KS AT KS AT KS AT KS ACP ACP ACP ACP KS KS KS KS ACP ACP KS ACP KS
1171	pks	ACP ACP KS ACP AT AT AT AT AT AT KS AT KS AT ACP AT KS ACP
1172	pks	AT ACP ACP AT ACP ACP KS KS KS KS KS ACP KS KS AT KS KS ACP AT AT AT ACP ACP AT ACP KS KS KS KS AT AT AT KS ACP AT ACP AT AT KS KS
1173	pks	ACP KS KS ACP AT KS ACP ACP AT ACP AT KS ACP ACP AT KS AT ACP ACP KS KS AT
1174	pks	KS KS ACP KS AT ACP ACP KS KS AT AT ACP AT KS AT AT ACP ACP ACP AT ACP KS KS KS ACP KS AT AT ACP AT ACP AT KS ACP
1175	pks	AT AT KS ACP
1176	pks	AT KS KS KS AT ACP ACP KS ACP AT ACP ACP KS ACP
1177	pks	AT ACP KS ACP ACP AT AT AT AT KS KS AT ACP AT AT ACP KS ACP KS AT ACP AT ACP KS AT ACP ACP KS ACP AT KS AT ACP KS AT AT
1178	pks	ACP AT ACP AT ACP KS KS KS KS AT KS AT KS AT ACP KS KS AT KS KS AT AT KS ACP AT KS KS AT KS ACP KS ACP KS AT KS
1179	pks	AT KS AT ACP ACP
1180	pks	ACP AT KS KS KS ACP AT KS KS AT AT ACP KS ACP ACP AT AT ACP AT ACP AT KS ACP ACP AT ACP ACP
1181	pks	AT KS AT KS KS ACP ACP ACP KS KS AT KS AT KS
1182	pks	KS ACP KS ACP KS ACP KS ACP KS ACP AT ACP ACP AT ACP AT AT AT AT AT AT KS KS AT AT ACP AT AT KS KS ACP KS
1183	pks	ACP ACP AT KS AT AT AT AT AT AT AT AT KS ACP
1184	pks	AT KS AT KS ACP AT ACP ACP ACP KS ACP AT KS
1185	pks	KS ACP AT AT ACP KS AT AT ACP KS KS KS KS KS ACP ACP AT KS KS AT AT ACP KS AT KS AT AT AT ACP AT ACP KS ACP ACP KS ACP
1186	pks	KS ACP KS AT KS AT ACP AT KS ACP KS ACP ACP AT KS ACP ACP KS KS KS ACP ACP AT AT AT KS AT AT AT ACP ACP KS ACP ACP
1187	pks	AT AT KS AT AT KS KS ACP KS KS AT KS KS AT AT AT AT ACP ACP AT KS AT KS KS AT KS AT ACP ACP KS ACP ACP AT KS AT ACP KS KS ACP
1188	pks	AT KS ACP ACP ACP AT AT ACP AT ACP KS KS ACP AT KS AT AT ACP ACP ACP ACP AT AT KS ACP AT AT AT ACP KS AT AT AT AT AT
1189	pks	KS KS ACP KS KS AT KS KS ACP KS ACP AT KS KS KS AT AT KS AT ACP AT ACP AT KS KS ACP ACP AT ACP ACP KS ACP
1190	pks	ACP ACP AT ACP AT AT AT AT KS KS ACP KS AT ACP ACP KS KS KS AT
1191	pks	ACP ACP KS KS AT AT KS KS ACP AT ACP AT ACP ACP KS AT ACP AT ACP KS AT KS ACP ACP ACP
1192	pks	AT KS AT KS ACP AT AT AT KS AT
1193	pks	AT KS AT AT KS KS AT KS AT
1194	pks	AT ACP ACP KS AT ACP AT AT ACP ACP KS AT ACP AT KS AT ACP ACP KS ACP AT AT AT ACP ACP KS ACP ACP AT KS AT ACP ACP AT
1195	pks	KS AT ACP AT KS KS KS ACP KS AT KS KS ACP KS AT KS AT ACP
1196	pks	KS AT ACP KS AT KS KS KS KS KS ACP ACP KS AT ACP AT KS KS KS KS ACP AT KS ACP KS KS AT KS AT KS ACP AT KS ACP ACP AT
1197	pks	ACP ACP ACP AT AT ACP ACP AT AT ACP KS
1198	pks	ACP ACP AT ACP ACP KS AT AT AT AT ACP KS AT AT KS KS ACP KS ACP KS KS ACP AT AT ACP
1199	pks	AT ACP ACP AT AT
1200	pks	ACP ACP ACP KS KS AT ACP ACP KS KS ACP AT KS ACP ACP AT ACP AT KS AT AT KS AT
1201	pks	AT ACP AT KS ACP AT KS AT ACP ACP AT KS KS KS AT AT AT
1202	pks	KS AT KS ACP AT ACP ACP KS KS ACP AT AT ACP KS AT KS KS AT AT KS
1203	pks	AT KS ACP KS AT AT KS AT AT KS AT KS ACP AT AT ACP AT KS ACP AT KS AT AT KS AT AT ACP ACP AT AT ACP ACP ACP AT KS ACP KS
1204	pks	AT KS ACP KS KS AT ACP ACP ACP ACP KS KS ACP AT AT AT KS KS
1205	pks	AT ACP KS AT ACP ACP AT AT AT KS ACP KS ACP KS ACP AT AT ACP KS KS ACP KS ACP ACP KS AT AT ACP
1206	pks	ACP AT KS AT ACP ACP ACP KS KS KS AT AT ACP ACP KS AT AT ACP KS AT AT KS AT KS AT ACP ACP ACP ACP ACP KS KS ACP ACP KS
1207	pks	AT AT ACP ACP ACP AT KS ACP KS AT AT AT ACP KS AT ACP ACP AT KS ACP ACP ACP KS AT
1208	pks	ACP KS ACP AT KS AT KS ACP KS ACP ACP KS AT ACP ACP AT AT ACP AT KS ACP KS KS KS ACP KS KS ACP AT AT KS AT KS ACP KS ACP
1209	pks	AT ACP AT ACP AT ACP ACP AT KS ACP ACP KS KS AT KS ACP AT KS KS KS
1210	pks	KS ACP KS AT AT KS KS AT AT KS AT KS AT AT ACP AT ACP AT AT AT AT KS AT KS
1211	pks	KS AT KS KS ACP ACP ACP AT KS KS KS KS ACP KS KS KS AT AT KS ACP KS AT KS KS ACP AT ACP KS KS AT KS ACP KS KS ACP ACP KS
1212	pks	ACP KS ACP AT ACP ACP
1213	pks	AT ACP AT KS KS ACP AT AT AT AT AT AT KS KS AT ACP KS AT KS AT KS ACP AT AT ACP
1214	pks	KS KS KS ACP AT AT AT KS AT AT ACP ACP KS ACP AT
1215	pks	KS AT AT KS AT AT KS ACP ACP KS AT AT AT ACP KS KS KS KS ACP AT ACP KS KS AT ACP AT KS KS KS ACP AT ACP ACP AT AT AT ACP ACP AT
1216	pks	AT KS ACP AT KS KS ACP ACP KS KS KS ACP KS AT KS KS
1217	pks	AT KS AT ACP KS ACP
1218	pks	ACP AT KS KS ACP AT ACP AT AT KS AT ACP AT KS ACP AT AT AT ACP AT AT ACP ACP ACP AT KS KS AT KS
1219	pks	AT AT AT KS AT AT KS KS AT KS KS AT KS KS ACP AT KS KS ACP ACP AT KS AT KS KS KS KS AT AT AT KS KS KS KS ACP AT ACP
1220	pks	ACP KS KS KS KS ACP ACP AT ACP ACP KS KS ACP ACP
1221	pks	KS ACP ACP ACP ACP AT KS KS AT ACP AT KS KS
1222	pks	ACP ACP ACP KS ACP KS ACP ACP AT KS KS ACP ACP ACP AT ACP ACP KS KS ACP KS
1223	pks	AT KS KS ACP ACP ACP KS KS AT KS ACP ACP ACP ACP ACP ACP KS ACP AT ACP KS KS ACP KS ACP AT KS KS ACP AT KS AT KS ACP
1224	pks	KS KS ACP AT AT ACP ACP ACP KS AT ACP ACP AT AT KS ACP KS KS AT ACP ACP AT ACP AT ACP KS ACP KS KS ACP AT ACP KS KS AT ACP ACP
1225	pks	ACP ACP ACP AT KS ACP AT KS KS KS ACP KS KS ACP KS KS ACP AT KS AT ACP
1226	pks	AT KS KS KS AT KS AT ACP AT KS KS AT AT ACP KS AT AT AT KS ACP
1227	pks	ACP AT AT KS ACP ACP AT ACP AT KS KS KS AT AT KS KS ACP AT ACP AT KS KS AT ACP KS AT AT
1228	pks	AT ACP ACP KS KS AT AT
1229	pks	AT ACP AT AT AT ACP AT AT ACP ACP ACP AT AT AT KS ACP KS AT ACP KS ACP KS AT ACP KS ACP ACP ACP KS
1230	pks	KS AT AT KS ACP
1231	pks	AT ACP KS AT ACP AT AT AT AT AT AT KS KS KS KS KS KS AT ACP ACP AT AT ACP AT ACP ACP AT KS KS KS
1232	pks	KS ACP ACP AT KS ACP KS KS AT ACP AT KS ACP AT ACP AT KS ACP ACP ACP KS AT KS ACP ACP AT
1233	pks	AT KS AT AT ACP AT ACP KS ACP KS ACP KS KS ACP KS
1234	pks	ACP KS AT ACP KS KS AT AT ACP ACP ACP AT KS AT AT AT AT ACP AT KS KS ACP KS KS AT AT AT AT
1235	pks	ACP ACP KS ACP AT AT ACP KS AT AT AT ACP AT KS ACP AT AT KS AT AT ACP KS ACP AT ACP ACP ACP ACP AT KS AT AT AT AT AT AT ACP ACP KS ACP
1236	pks	AT ACP AT KS ACP KS AT AT AT AT AT AT ACP AT KS KS KS ACP KS KS ACP KS KS KS KS AT KS AT KS ACP AT ACP AT
1237	pks	AT KS ACP KS KS KS KS KS KS ACP AT KS KS ACP KS KS AT KS KS KS KS KS AT AT KS KS AT KS AT KS KS KS
1238	pks	AT KS ACP AT ACP
1239	pks	KS ACP AT AT AT AT ACP AT AT ACP KS KS ACP KS KS ACP ACP KS KS AT AT AT KS KS ACP AT
1240	pks	ACP ACP AT AT ACP AT KS KS ACP ACP ACP KS AT AT KS AT ACP KS ACP AT KS AT KS
1241	pks	AT AT AT ACP ACP KS AT KS ACP AT KS AT AT KS ACP AT ACP ACP KS
1242	pks	ACP AT KS ACP AT ACP ACP ACP ACP AT ACP ACP KS AT AT AT KS ACP ACP KS KS KS AT ACP ACP AT KS AT AT AT ACP AT ACP AT AT KS
1243	pks	KS KS AT KS ACP ACP AT KS AT AT KS ACP ACP AT AT ACP ACP AT AT
1244	pks	AT ACP AT ACP AT KS ACP ACP AT KS AT KS ACP ACP ACP KS AT AT ACP AT KS AT KS KS KS AT KS
1245	pks	ACP AT ACP ACP
1246	pks	KS ACP ACP ACP ACP KS ACP KS ACP ACP ACP ACP ACP AT KS KS AT KS AT KS ACP KS AT ACP AT KS AT AT ACP ACP
1247	pks	AT AT KS KS KS ACP AT AT KS ACP AT KS ACP KS AT AT AT ACP KS
1248	pks	KS ACP KS AT AT AT ACP AT ACP AT AT
1249	pks	ACP AT AT ACP ACP
1250	pks	AT AT KS AT ACP KS KS AT AT ACP ACP KS ACP AT KS ACP AT KS KS ACP
1251	pks	ACP AT ACP KS KS KS KS ACP KS ACP KS KS KS ACP ACP ACP KS KS KS KS KS ACP AT
1252	pks	KS ACP ACP ACP AT AT KS KS AT KS AT ACP KS ACP ACP KS ACP
1253	pks	ACP AT ACP AT ACP KS ACP KS AT KS AT AT AT ACP ACP KS AT ACP KS AT KS AT AT AT KS AT KS AT AT AT AT ACP KS
1254	pks	AT AT KS KS AT AT KS KS AT KS KS ACP ACP AT AT ACP KS KS KS ACP KS ACP KS AT ACP KS AT ACP ACP KS KS AT KS KS KS AT AT AT KS AT
1255	pks	KS AT KS KS KS AT KS ACP KS KS KS AT ACP KS ACP ACP AT ACP AT
1256	pks	AT KS AT KS ACP ACP AT
1257	pks	KS AT ACP AT AT ACP ACP ACP KS KS KS KS AT KS ACP ACP AT KS AT KS KS
1258	pks	AT AT ACP KS AT KS AT AT ACP AT ACP KS ACP ACP AT AT KS AT ACP ACP AT AT ACP KS
1259	pks	AT KS AT ACP AT KS ACP ACP ACP KS KS KS ACP ACP ACP ACP ACP ACP ACP AT KS
1260	pks	ACP KS ACP AT ACP ACP KS AT AT KS ACP AT KS KS KS
1261	pks	ACP KS AT AT AT AT ACP AT AT AT AT KS
1262	pks	KS KS AT AT AT ACP AT KS KS AT AT AT AT ACP ACP AT AT ACP ACP AT AT AT KS KS KS
1263	pks	ACP KS ACP AT AT KS KS KS ACP KS ACP ACP ACP AT AT KS ACP KS AT ACP ACP ACP AT AT KS ACP KS KS KS KS ACP
1264	pks	ACP KS ACP AT AT ACP AT AT AT AT AT ACP AT KS ACP AT ACP ACP
1265	pks	KS KS KS ACP AT AT AT KS KS KS KS ACP KS ACP AT AT ACP AT
1266	pks	AT AT ACP AT KS ACP ACP ACP KS ACP ACP KS ACP ACP AT AT AT KS ACP ACP AT AT AT KS KS KS KS KS ACP ACP AT AT ACP AT KS KS ACP
1267	pks	AT KS AT ACP ACP KS KS KS KS ACP ACP AT ACP KS ACP ACP KS KS AT KS ACP ACP ACP ACP
1268	pks	AT KS ACP AT AT ACP ACP AT AT ACP AT AT KS KS KS AT KS ACP AT
1269	pks	AT AT ACP AT KS AT KS AT KS AT AT KS KS AT ACP
1270	pks	ACP AT AT KS KS ACP AT KS KS ACP KS AT ACP KS ACP AT KS AT AT KS AT
1271	pks	ACP KS AT ACP KS ACP AT ACP KS KS KS KS KS AT AT AT ACP KS KS AT ACP AT ACP KS ACP ACP KS ACP KS KS AT ACP AT KS KS
1272	pks	AT KS KS AT KS AT AT ACP AT AT AT KS ACP ACP AT AT ACP KS AT ACP AT ACP AT KS AT KS KS KS ACP AT AT KS AT AT KS ACP KS ACP
1273	pks	KS KS AT ACP ACP AT ACP KS AT KS KS AT KS ACP KS AT KS KS KS AT AT ACP AT ACP AT AT ACP ACP AT KS AT ACP KS KS
1274	pks	AT AT ACP ACP ACP ACP AT KS ACP KS KS AT AT ACP AT KS ACP KS AT AT ACP ACP ACP ACP ACP AT KS KS ACP AT KS KS KS AT ACP AT KS ACP AT ACP
1275	pks	AT KS KS KS ACP ACP KS AT AT AT AT ACP ACP KS ACP AT AT KS AT AT AT AT ACP KS AT AT AT ACP KS AT KS ACP
1276	pks	ACP ACP AT AT AT ACP ACP ACP KS KS ACP AT ACP ACP KS ACP ACP ACP ACP ACP AT KS KS KS KS ACP
1277	pks	KS AT KS AT AT KS ACP ACP ACP KS KS KS KS AT ACP ACP KS AT AT KS AT AT ACP ACP ACP AT KS KS KS ACP KS ACP KS KS AT ACP AT
1278	pks	AT ACP ACP AT KS ACP AT ACP KS KS ACP ACP KS AT KS KS AT ACP KS ACP AT AT AT KS ACP KS ACP ACP ACP ACP
1279	pks	KS ACP KS ACP KS KS AT ACP KS KS ACP KS ACP AT AT ACP AT KS KS AT ACP KS AT AT AT ACP KS KS
1280	pks	AT ACP ACP ACP KS KS KS AT KS AT AT KS KS AT KS AT AT KS ACP KS ACP ACP ACP ACP KS KS KS KS AT ACP KS AT ACP ACP
1281	pks	ACP AT AT KS ACP AT ACP ACP ACP ACP AT AT ACP KS AT KS KS AT AT
1282	pks	KS AT ACP KS KS AT ACP KS AT AT KS ACP AT AT ACP KS ACP KS AT KS KS AT KS AT AT AT ACP KS
1283	pks	AT KS ACP AT ACP ACP AT ACP AT ACP AT AT KS AT ACP ACP KS AT KS AT AT ACP AT ACP KS KS ACP ACP AT AT KS AT KS KS AT ACP AT KS KS AT
1284	pks	ACP ACP KS ACP ACP KS AT ACP ACP KS AT KS KS AT KS ACP KS AT
1285	pks	AT KS AT KS AT KS KS AT ACP KS KS ACP AT KS KS ACP ACP KS ACP ACP ACP KS KS AT KS KS ACP KS ACP ACP ACP KS
1286	pks	ACP ACP AT KS ACP ACP ACP KS ACP
1287	pks	ACP KS ACP KS AT ACP KS KS AT AT AT KS ACP KS AT AT KS AT ACP KS KS AT KS
1288	pks	AT AT ACP KS ACP ACP ACP KS ACP AT AT ACP ACP AT AT KS
1289	pks	KS ACP ACP AT ACP ACP KS AT AT KS KS KS AT ACP KS KS AT KS AT ACP KS ACP ACP KS KS ACP AT ACP AT KS KS ACP KS ACP ACP ACP ACP
1290	pks	KS AT KS AT AT KS ACP AT ACP ACP AT KS KS AT AT
1291	pks	AT AT ACP ACP KS KS KS AT KS AT ACP ACP
1292	pks	AT KS AT KS AT KS ACP ACP AT KS AT ACP KS AT AT ACP KS AT ACP AT ACP KS KS ACP
1293	pks	KS KS KS KS
1294	pks	AT KS AT AT ACP AT AT KS ACP AT ACP ACP ACP ACP KS ACP KS ACP ACP KS ACP ACP AT KS ACP KS ACP AT KS AT ACP ACP AT KS ACP ACP ACP AT AT
1295	pks	AT KS ACP KS AT ACP KS KS AT KS ACP KS ACP ACP AT AT
1296	pks	AT KS AT ACP AT AT ACP KS AT ACP KS AT KS ACP AT KS KS KS ACP ACP KS KS AT ACP
1297	pks	KS AT ACP ACP KS ACP KS KS ACP AT KS ACP KS ACP
1298	pks	AT AT AT ACP AT ACP KS AT ACP ACP AT KS AT ACP ACP
1299	pks	KS AT KS KS KS KS KS
1300	pks	AT KS ACP AT AT AT AT ACP AT KS ACP AT AT AT AT AT ACP KS KS ACP ACP AT ACP KS AT AT KS AT AT AT ACP ACP AT AT KS AT KS
1301	pks	ACP ACP ACP ACP ACP KS ACP AT ACP AT AT AT ACP ACP KS AT KS KS ACP ACP KS ACP KS KS KS AT AT AT ACP ACP ACP AT KS KS AT ACP KS
1302	pks	KS AT ACP AT
1303	pks	KS KS ACP KS AT AT KS ACP ACP KS ACP AT KS AT ACP ACP KS ACP ACP AT ACP AT ACP AT AT KS ACP
1304	pks	AT KS KS KS KS ACP KS KS KS AT KS KS ACP ACP AT KS KS ACP ACP AT KS KS AT ACP AT ACP ACP AT KS AT ACP KS ACP AT KS KS KS
1305	pks	KS KS AT ACP KS ACP KS KS ACP KS ACP AT KS ACP AT ACP ACP KS ACP AT AT ACP ACP AT AT ACP ACP ACP ACP KS AT ACP ACP AT
1306	pks	KS AT KS ACP ACP AT ACP KS ACP KS KS AT KS KS AT ACP KS AT KS KS AT KS ACP ACP KS KS KS ACP KS AT AT ACP AT KS
1307	pks	ACP AT ACP AT ACP ACP KS ACP ACP AT KS AT ACP KS KS AT KS ACP KS KS ACP AT AT KS KS KS AT
1308	pks	ACP ACP KS KS KS AT AT ACP KS ACP AT ACP ACP ACP ACP KS ACP KS ACP AT ACP KS AT KS AT ACP ACP KS AT AT KS KS ACP ACP KS
1309	pks	KS AT AT KS ACP AT AT ACP AT KS KS KS KS AT AT KS KS KS ACP KS ACP KS ACP ACP AT KS AT KS AT KS ACP ACP ACP AT KS ACP ACP
1310	pks	ACP ACP AT ACP KS ACP KS AT KS AT ACP AT
1311	pks	ACP AT AT AT ACP ACP ACP KS ACP KS ACP AT KS AT KS ACP ACP KS ACP ACP AT AT ACP AT KS KS ACP ACP
1312	pks	AT KS ACP KS ACP AT ACP ACP KS KS AT ACP ACP ACP ACP KS AT
1313	pks	ACP KS ACP AT AT AT ACP AT KS ACP KS KS KS AT ACP ACP ACP ACP ACP ACP KS KS AT ACP ACP KS KS ACP KS AT AT AT AT AT ACP AT AT AT KS
1314	pks	ACP KS KS KS KS KS KS AT AT ACP
1315	pks	AT AT AT AT AT ACP KS ACP ACP KS AT AT AT AT AT ACP ACP KS AT KS ACP KS AT KS ACP ACP ACP KS KS ACP ACP AT AT AT ACP KS ACP ACP KS
1316	pks	KS KS KS KS AT KS KS ACP KS AT AT ACP KS KS KS ACP KS KS
1317	pks	ACP AT AT AT AT KS AT ACP
1318	pks	KS AT ACP ACP AT ACP AT KS AT KS ACP
1319	pks	AT ACP KS KS ACP KS
1320	pks	AT KS KS KS AT ACP KS ACP ACP ACP ACP
1321	pks	AT AT ACP ACP ACP ACP KS AT KS AT ACP
1322	pks	ACP ACP AT KS AT AT KS KS AT AT ACP ACP KS AT KS KS AT ACP KS AT ACP ACP AT ACP KS AT
1323	pks	KS ACP ACP AT KS ACP KS AT AT KS KS KS ACP ACP KS KS AT AT ACP ACP KS AT ACP KS ACP AT AT ACP
1324	pks	KS AT ACP ACP AT ACP KS ACP KS AT AT AT ACP AT KS ACP ACP ACP ACP AT AT
1325	pks	ACP ACP KS KS AT
1326	pks	AT ACP AT ACP KS AT AT AT KS KS KS KS ACP AT ACP KS AT ACP KS AT KS AT AT ACP
1327	pks	ACP KS KS KS AT AT ACP KS ACP ACP KS ACP KS ACP KS AT KS KS ACP AT KS AT KS KS AT
1328	pks	ACP AT AT ACP ACP AT KS KS KS AT KS ACP KS ACP KS AT AT AT KS ACP ACP ACP AT AT AT AT AT ACP KS KS KS KS AT AT KS KS
1329	pks	AT KS KS ACP AT ACP KS AT ACP ACP ACP AT KS AT AT AT KS KS AT ACP AT AT AT AT KS KS KS ACP KS
1330	pks	AT KS KS AT AT KS ACP KS KS AT AT KS ACP KS KS KS ACP KS ACP ACP KS KS ACP AT KS KS ACP KS KS ACP AT AT AT AT
1331	pks	ACP ACP KS AT AT ACP ACP KS ACP AT KS AT AT ACP KS ACP AT KS AT ACP
1332	pks	KS AT ACP KS AT ACP AT ACP
1333	pks	KS KS ACP AT
1334	pks	AT AT AT ACP AT KS ACP KS AT ACP ACP
1335	pks	ACP AT KS KS ACP ACP ACP KS KS ACP ACP ACP
1336	pks	ACP AT KS AT KS ACP KS ACP ACP KS AT KS
1337	pks	AT AT KS KS KS ACP ACP KS AT AT AT ACP KS KS ACP ACP AT ACP ACP ACP AT KS AT KS ACP
1338	pks	ACP KS KS ACP AT AT AT ACP KS ACP ACP AT KS AT AT AT AT KS AT
1339	pks	KS ACP AT KS ACP AT AT ACP KS KS ACP ACP
1340	pks	ACP KS AT ACP AT KS AT AT AT AT ACP KS KS ACP KS KS AT AT KS ACP KS AT KS ACP AT AT KS ACP AT KS KS AT
1341	pks	KS KS ACP ACP AT AT AT ACP ACP ACP AT ACP KS ACP AT KS ACP ACP ACP ACP ACP AT AT
1342	pks	KS AT ACP KS KS ACP KS AT AT ACP ACP KS AT AT KS AT KS ACP KS AT ACP ACP KS KS ACP AT ACP ACP AT ACP AT AT ACP ACP ACP ACP ACP AT KS
1343	pks	AT ACP AT KS KS AT AT ACP ACP ACP AT ACP ACP AT KS ACP AT AT ACP AT
1344	pks	KS AT AT ACP AT ACP KS ACP ACP AT AT AT AT ACP AT ACP KS ACP KS KS
1345	pks	AT KS AT KS AT AT KS KS KS AT AT KS KS KS KS AT ACP AT KS KS AT AT KS KS AT
1346	pks	KS AT KS ACP KS KS AT ACP ACP AT ACP ACP ACP ACP AT AT ACP KS AT ACP KS AT KS AT AT ACP KS ACP
1347	pks	AT AT ACP AT AT AT
1348	pks	AT AT AT ACP AT KS AT KS KS AT ACP AT AT AT AT ACP ACP ACP ACP ACP KS KS ACP ACP KS KS
1349	pks	KS AT KS KS AT ACP AT AT AT ACP ACP AT AT AT AT KS ACP ACP KS AT AT AT AT KS ACP ACP KS ACP AT
1350	pks	KS ACP AT AT KS AT AT KS KS ACP KS ACP AT AT
1351	pks	KS AT ACP AT KS ACP AT KS KS AT KS KS KS KS AT KS KS AT KS ACP KS KS ACP ACP AT KS
1352	pks	ACP AT AT ACP KS ACP KS KS KS ACP AT KS KS AT AT ACP ACP AT ACP ACP
1353	pks	AT ACP KS ACP KS ACP ACP AT ACP AT ACP KS ACP KS AT KS AT KS KS AT ACP ACP ACP KS ACP AT ACP KS AT AT KS KS
1354	pks	AT AT KS KS KS AT AT AT
1355	pks	AT ACP KS AT KS AT ACP KS ACP KS ACP ACP ACP KS AT ACP AT KS AT AT AT AT KS AT AT AT KS KS ACP KS AT AT AT KS
1356	pks	ACP ACP ACP ACP ACP KS ACP ACP KS KS AT KS ACP AT AT KS AT KS ACP KS KS ACP AT KS AT AT AT
1357	pks	ACP AT KS AT KS AT ACP
1358	pks	KS AT AT AT AT KS KS KS KS ACP KS AT AT ACP KS AT AT KS AT KS KS ACP ACP AT ACP ACP AT ACP AT AT ACP ACP
1359	pks	AT ACP KS ACP AT ACP KS ACP KS AT AT ACP KS KS AT KS ACP ACP KS KS ACP AT KS AT AT AT
1360	pks	KS AT KS KS KS KS ACP AT KS KS ACP KS KS ACP AT KS AT ACP KS KS KS AT AT KS KS KS KS KS KS AT
1361	pks	ACP AT KS AT AT ACP AT AT AT ACP ACP ACP AT ACP ACP ACP AT
1362	pks	ACP ACP AT AT AT AT KS AT KS KS KS KS AT
1363	pks	ACP ACP ACP AT ACP AT KS KS KS AT AT ACP AT KS KS KS AT KS ACP KS ACP ACP KS KS KS ACP AT KS AT AT ACP ACP KS AT ACP
1364	pks	KS KS ACP AT KS AT AT AT ACP KS ACP ACP KS KS AT AT AT AT KS AT KS AT ACP AT ACP KS ACP ACP KS ACP ACP
1365	pks	KS KS ACP ACP AT KS ACP KS AT ACP AT AT AT ACP KS AT AT KS AT ACP KS AT ACP AT AT KS ACP KS AT AT ACP ACP KS
1366	pks	KS ACP AT AT KS AT KS KS KS ACP ACP KS ACP AT KS AT ACP KS KS KS KS KS ACP KS
1367	pks	ACP ACP KS KS KS AT AT ACP ACP AT KS KS AT KS AT ACP AT AT KS AT KS
1368	pks	AT KS ACP ACP ACP ACP ACP AT ACP AT ACP KS ACP KS AT ACP ACP AT AT AT ACP ACP KS KS AT ACP KS AT ACP ACP ACP KS ACP AT ACP AT ACP AT AT
1369	pks	AT AT AT AT AT KS AT ACP ACP AT AT ACP KS ACP ACP AT KS AT AT ACP KS KS
1370	pks	AT AT ACP KS ACP KS ACP AT
1371	pks	KS ACP AT ACP AT AT ACP AT AT ACP AT ACP AT ACP ACP KS KS KS ACP AT KS ACP KS KS KS ACP AT KS ACP AT
1372	pks	KS AT KS AT AT KS KS KS ACP KS ACP ACP ACP KS KS
1373	pks	ACP ACP AT AT ACP AT ACP AT AT AT AT KS AT KS KS KS ACP ACP KS AT AT ACP KS ACP KS AT
1374	pks	AT ACP ACP AT ACP AT ACP ACP KS KS KS AT
1375	pks	ACP AT AT AT AT ACP ACP KS
1376	pks	KS ACP AT AT AT AT KS ACP AT ACP AT ACP KS KS ACP KS
1377	pks	AT AT ACP KS
1378	pks	ACP ACP ACP KS ACP AT KS AT ACP AT KS ACP AT ACP KS KS ACP AT ACP ACP KS AT KS KS KS ACP ACP AT ACP AT AT ACP ACP AT KS
1379	pks	AT KS AT KS AT ACP AT ACP AT
